_id,season,date_code,weekending,region,Total_ILI,Total_Patients_Seen,Percent_ILI,Number_Providers_Reporting
1,2001-2002,200140,10/6/2001,Bay Area,3,135,2.22,2
2,2001-2002,200140,10/6/2001,California,25,1211,2.06,14
3,2001-2002,200140,10/6/2001,Central,0,0,,0
4,2001-2002,200140,10/6/2001,Lower Southern,2,336,0.6,4
5,2001-2002,200140,10/6/2001,Northern,20,529,3.78,4
6,2001-2002,200140,10/6/2001,Upper Southern,0,211,0,4
7,2001-2002,200141,10/13/2001,Bay Area,3,68,4.41,1
8,2001-2002,200141,10/13/2001,California,38,1845,2.06,19
9,2001-2002,200141,10/13/2001,Central,0,0,,0
10,2001-2002,200141,10/13/2001,Lower Southern,3,343,0.87,5
11,2001-2002,200141,10/13/2001,Northern,26,740,3.51,6
