_id,season,date_code,weekending,region,Total_ILI,Total_Patients_Seen,Percent_ILI,Number_Providers_Reporting
3108,2010-2011,201135,9/3/2011,Upper Southern,0,2033,0,12
3109,2010-2011,201136,9/10/2011,Bay Area,149,4987,2.99,10
3110,2010-2011,201136,9/10/2011,California,318,19518,1.63,73
3111,2010-2011,201136,9/10/2011,Central,17,1005,1.69,5
3112,2010-2011,201136,9/10/2011,Lower Southern,117,6409,1.83,33
3113,2010-2011,201136,9/10/2011,Northern,30,4277,0.7,12
3114,2010-2011,201136,9/10/2011,Upper Southern,5,2840,0.18,13
3115,2010-2011,201137,9/17/2011,Bay Area,249,6724,3.7,13
3116,2010-2011,201137,9/17/2011,California,419,23690,1.77,72
3117,2010-2011,201137,9/17/2011,Central,31,1050,2.95,5
3118,2010-2011,201137,9/17/2011,Lower Southern,110,7333,1.5,29
3119,2010-2011,201137,9/17/2011,Northern,27,5295,0.51,12
3120,2010-2011,201137,9/17/2011,Upper Southern,2,3288,0.06,13
3121,2010-2011,201138,9/24/2011,Bay Area,253,7229,3.5,11
3122,2010-2011,201138,9/24/2011,California,445,25285,1.76,74
3123,2010-2011,201138,9/24/2011,Central,39,878,4.44,5
3124,2010-2011,201138,9/24/2011,Lower Southern,111,8208,1.35,33
3125,2010-2011,201138,9/24/2011,Northern,31,5619,0.55,11
3126,2010-2011,201138,9/24/2011,Upper Southern,11,3351,0.33,14
3127,2010-2011,201139,10/1/2011,Bay Area,274,6368,4.3,10
3128,2010-2011,201139,10/1/2011,California,466,25106,1.86,69
3129,2010-2011,201139,10/1/2011,Central,33,392,8.42,4
3130,2010-2011,201139,10/1/2011,Lower Southern,126,9000,1.4,32
3131,2010-2011,201139,10/1/2011,Northern,28,6170,0.45,11
3132,2010-2011,201139,10/1/2011,Upper Southern,5,3176,0.16,12
3133,2011-2012,201140,10/8/2011,Bay Area,347,8992,3.86,19
3134,2011-2012,201140,10/8/2011,California,568,31504,1.8,116
3135,2011-2012,201140,10/8/2011,Central,38,1242,3.06,12
3136,2011-2012,201140,10/8/2011,Lower Southern,84,9681,0.87,42
3137,2011-2012,201140,10/8/2011,Northern,47,6449,0.73,17
3138,2011-2012,201140,10/8/2011,Upper Southern,52,5140,1.01,26
3139,2011-2012,201141,10/15/2011,Bay Area,383,8911,4.3,21
3140,2011-2012,201141,10/15/2011,California,703,34038,2.07,122
3141,2011-2012,201141,10/15/2011,Central,37,1196,3.09,12
3142,2011-2012,201141,10/15/2011,Lower Southern,161,10550,1.53,45
3143,2011-2012,201141,10/15/2011,Northern,76,7143,1.06,18
3144,2011-2012,201141,10/15/2011,Upper Southern,46,6238,0.74,26
3145,2011-2012,201142,10/22/2011,Bay Area,444,8746,5.08,20
3146,2011-2012,201142,10/22/2011,California,801,33614,2.38,116
3147,2011-2012,201142,10/22/2011,Central,43,1343,3.2,12
3148,2011-2012,201142,10/22/2011,Lower Southern,213,10564,2.02,42
3149,2011-2012,201142,10/22/2011,Northern,66,6681,0.99,17
3150,2011-2012,201142,10/22/2011,Upper Southern,35,6280,0.56,25
3151,2011-2012,201143,10/29/2011,Bay Area,492,11061,4.45,21
3152,2011-2012,201143,10/29/2011,California,797,34784,2.29,118
3153,2011-2012,201143,10/29/2011,Central,48,1875,2.56,13
3154,2011-2012,201143,10/29/2011,Lower Southern,132,9636,1.37,43
3155,2011-2012,201143,10/29/2011,Northern,77,6726,1.14,16
3156,2011-2012,201143,10/29/2011,Upper Southern,48,5486,0.87,25
3157,2011-2012,201144,11/5/2011,Bay Area,493,11522,4.28,22
3158,2011-2012,201144,11/5/2011,California,866,34869,2.48,125
3159,2011-2012,201144,11/5/2011,Central,65,2100,3.1,14
3160,2011-2012,201144,11/5/2011,Lower Southern,183,10457,1.75,43
3161,2011-2012,201144,11/5/2011,Northern,78,6383,1.22,19
3162,2011-2012,201144,11/5/2011,Upper Southern,47,4407,1.07,27
3163,2011-2012,201145,11/12/2011,Bay Area,488,11832,4.12,21
3164,2011-2012,201145,11/12/2011,California,784,36056,2.17,127
3165,2011-2012,201145,11/12/2011,Central,51,1870,2.73,14
3166,2011-2012,201145,11/12/2011,Lower Southern,169,10125,1.67,47
3167,2011-2012,201145,11/12/2011,Northern,52,6177,0.84,18
3168,2011-2012,201145,11/12/2011,Upper Southern,24,6052,0.4,27
3169,2011-2012,201146,11/19/2011,Bay Area,639,12270,5.21,22
3170,2011-2012,201146,11/19/2011,California,992,37756,2.63,123
3171,2011-2012,201146,11/19/2011,Central,56,2200,2.55,14
3172,2011-2012,201146,11/19/2011,Lower Southern,181,10273,1.76,42
3173,2011-2012,201146,11/19/2011,Northern,86,6829,1.26,17
3174,2011-2012,201146,11/19/2011,Upper Southern,30,6184,0.49,28
3175,2011-2012,201147,11/26/2011,Bay Area,379,7048,5.38,20
3176,2011-2012,201147,11/26/2011,California,594,23645,2.51,125
3177,2011-2012,201147,11/26/2011,Central,18,1503,1.2,16
3178,2011-2012,201147,11/26/2011,Lower Southern,118,6890,1.71,43
3179,2011-2012,201147,11/26/2011,Northern,56,3930,1.42,19
3180,2011-2012,201147,11/26/2011,Upper Southern,23,4274,0.54,27
3181,2011-2012,201148,12/3/2011,Bay Area,168,3900,4.31,20
3182,2011-2012,201148,12/3/2011,California,511,30312,1.69,125
3183,2011-2012,201148,12/3/2011,Central,56,2113,2.65,15
3184,2011-2012,201148,12/3/2011,Lower Southern,202,11027,1.83,44
3185,2011-2012,201148,12/3/2011,Northern,58,6989,0.83,19
3186,2011-2012,201148,12/3/2011,Upper Southern,27,6283,0.43,27
3187,2011-2012,201149,12/10/2011,Bay Area,578,8313,6.95,20
3188,2011-2012,201149,12/10/2011,California,883,32659,2.7,128
3189,2011-2012,201149,12/10/2011,Central,49,2268,2.16,16
3190,2011-2012,201149,12/10/2011,Lower Southern,179,9917,1.8,45
3191,2011-2012,201149,12/10/2011,Northern,42,6478,0.65,20
3192,2011-2012,201149,12/10/2011,Upper Southern,35,5683,0.62,27
3193,2011-2012,201150,12/17/2011,Bay Area,581,8248,7.04,21
3194,2011-2012,201150,12/17/2011,California,951,31476,3.02,127
3195,2011-2012,201150,12/17/2011,Central,40,1924,2.08,15
3196,2011-2012,201150,12/17/2011,Lower Southern,231,10016,2.31,46
3197,2011-2012,201150,12/17/2011,Northern,74,6081,1.22,19
3198,2011-2012,201150,12/17/2011,Upper Southern,25,5207,0.48,26
3199,2011-2012,201151,12/24/2011,Bay Area,573,6078,9.43,21
3200,2011-2012,201151,12/24/2011,California,843,23366,3.61,121
3201,2011-2012,201151,12/24/2011,Central,19,858,2.21,14
3202,2011-2012,201151,12/24/2011,Lower Southern,173,7940,2.18,42
3203,2011-2012,201151,12/24/2011,Northern,43,5053,0.85,18
3204,2011-2012,201151,12/24/2011,Upper Southern,35,3437,1.02,26
3205,2011-2012,201152,12/31/2011,Bay Area,496,4460,11.12,21
3206,2011-2012,201152,12/31/2011,California,718,16494,4.35,117
3207,2011-2012,201152,12/31/2011,Central,11,641,1.72,11
3208,2011-2012,201152,12/31/2011,Lower Southern,139,5409,2.57,41
3209,2011-2012,201152,12/31/2011,Northern,53,3788,1.4,18
3210,2011-2012,201152,12/31/2011,Upper Southern,19,2196,0.87,26
3211,2011-2012,201201,1/7/2012,Bay Area,590,6466,9.12,19
3212,2011-2012,201201,1/7/2012,California,854,24359,3.51,122
3213,2011-2012,201201,1/7/2012,Central,30,1580,1.9,14
3214,2011-2012,201201,1/7/2012,Lower Southern,160,7584,2.11,44
3215,2011-2012,201201,1/7/2012,Northern,41,4588,0.89,18
3216,2011-2012,201201,1/7/2012,Upper Southern,33,4141,0.8,27
3217,2011-2012,201202,1/14/2012,Bay Area,573,8493,6.75,22
3218,2011-2012,201202,1/14/2012,California,958,32552,2.94,124
3219,2011-2012,201202,1/14/2012,Central,49,1739,2.82,13
3220,2011-2012,201202,1/14/2012,Lower Southern,259,10396,2.49,45
3221,2011-2012,201202,1/14/2012,Northern,53,6383,0.83,19
3222,2011-2012,201202,1/14/2012,Upper Southern,24,5541,0.43,25
3223,2011-2012,201203,1/21/2012,Bay Area,504,8137,6.19,22
3224,2011-2012,201203,1/21/2012,California,855,31238,2.74,125
3225,2011-2012,201203,1/21/2012,Central,40,1618,2.47,14
3226,2011-2012,201203,1/21/2012,Lower Southern,202,9274,2.18,45
3227,2011-2012,201203,1/21/2012,Northern,53,7164,0.74,18
3228,2011-2012,201203,1/21/2012,Upper Southern,56,5045,1.11,26
3229,2011-2012,201204,1/28/2012,Bay Area,654,8438,7.75,22
3230,2011-2012,201204,1/28/2012,California,1224,34650,3.53,126
3231,2011-2012,201204,1/28/2012,Central,181,2366,7.65,14
3232,2011-2012,201204,1/28/2012,Lower Southern,248,10449,2.37,46
3233,2011-2012,201204,1/28/2012,Northern,102,6927,1.47,19
3234,2011-2012,201204,1/28/2012,Upper Southern,39,6470,0.6,25
3235,2011-2012,201205,2/4/2012,Bay Area,686,8232,8.33,21
3236,2011-2012,201205,2/4/2012,California,1362,36638,3.72,130
3237,2011-2012,201205,2/4/2012,Central,116,2691,4.31,16
3238,2011-2012,201205,2/4/2012,Lower Southern,384,11312,3.39,47
3239,2011-2012,201205,2/4/2012,Northern,112,7429,1.51,19
3240,2011-2012,201205,2/4/2012,Upper Southern,64,6974,0.92,27
3241,2011-2012,201206,2/11/2012,Bay Area,612,9776,6.26,20
3242,2011-2012,201206,2/11/2012,California,1265,38358,3.3,130
3243,2011-2012,201206,2/11/2012,Central,63,2386,2.64,15
3244,2011-2012,201206,2/11/2012,Lower Southern,351,11523,3.05,47
3245,2011-2012,201206,2/11/2012,Northern,170,7496,2.27,19
3246,2011-2012,201206,2/11/2012,Upper Southern,69,7177,0.96,29
3247,2011-2012,201207,2/18/2012,Bay Area,693,9519,7.28,22
3248,2011-2012,201207,2/18/2012,California,1278,35764,3.57,130
3249,2011-2012,201207,2/18/2012,Central,68,2011,3.38,15
3250,2011-2012,201207,2/18/2012,Lower Southern,312,10012,3.12,47
3251,2011-2012,201207,2/18/2012,Northern,162,7417,2.18,19
3252,2011-2012,201207,2/18/2012,Upper Southern,43,6805,0.63,27
3253,2011-2012,201208,2/25/2012,Bay Area,681,8650,7.87,20
3254,2011-2012,201208,2/25/2012,California,1300,30911,4.21,125
3255,2011-2012,201208,2/25/2012,Central,62,2389,2.6,15
3256,2011-2012,201208,2/25/2012,Lower Southern,306,8203,3.73,45
3257,2011-2012,201208,2/25/2012,Northern,186,6428,2.89,17
3258,2011-2012,201208,2/25/2012,Upper Southern,65,5241,1.24,28
3259,2011-2012,201209,3/3/2012,Bay Area,671,9861,6.8,20
3260,2011-2012,201209,3/3/2012,California,1253,35393,3.54,127
3261,2011-2012,201209,3/3/2012,Central,59,2247,2.63,15
3262,2011-2012,201209,3/3/2012,Lower Southern,314,10445,3.01,46
3263,2011-2012,201209,3/3/2012,Northern,153,7277,2.1,19
3264,2011-2012,201209,3/3/2012,Upper Southern,56,5563,1.01,27
3265,2011-2012,201210,3/10/2012,Bay Area,179,4303,4.16,19
3266,2011-2012,201210,3/10/2012,California,812,30156,2.69,128
3267,2011-2012,201210,3/10/2012,Central,52,2374,2.19,15
3268,2011-2012,201210,3/10/2012,Lower Southern,286,10421,2.74,46
3269,2011-2012,201210,3/10/2012,Northern,196,7271,2.7,19
3270,2011-2012,201210,3/10/2012,Upper Southern,99,5787,1.71,29
3271,2011-2012,201211,3/17/2012,Bay Area,202,4161,4.85,18
3272,2011-2012,201211,3/17/2012,California,920,29445,3.12,128
3273,2011-2012,201211,3/17/2012,Central,108,2082,5.19,16
3274,2011-2012,201211,3/17/2012,Lower Southern,268,10940,2.45,47
3275,2011-2012,201211,3/17/2012,Northern,243,7011,3.47,19
3276,2011-2012,201211,3/17/2012,Upper Southern,99,5251,1.89,28
3277,2011-2012,201212,3/24/2012,Bay Area,192,3932,4.88,17
3278,2011-2012,201212,3/24/2012,California,819,28919,2.83,124
3279,2011-2012,201212,3/24/2012,Central,90,2662,3.38,15
3280,2011-2012,201212,3/24/2012,Lower Southern,272,10909,2.49,47
3281,2011-2012,201212,3/24/2012,Northern,163,6217,2.62,16
3282,2011-2012,201212,3/24/2012,Upper Southern,102,5199,1.96,29
3283,2011-2012,201213,3/31/2012,Bay Area,632,8429,7.5,19
3284,2011-2012,201213,3/31/2012,California,1229,31522,3.9,127
3285,2011-2012,201213,3/31/2012,Central,92,2434,3.78,15
3286,2011-2012,201213,3/31/2012,Lower Southern,246,9804,2.51,45
3287,2011-2012,201213,3/31/2012,Northern,162,6395,2.53,18
3288,2011-2012,201213,3/31/2012,Upper Southern,97,4460,2.17,30
3289,2011-2012,201214,4/7/2012,Bay Area,513,8886,5.77,19
3290,2011-2012,201214,4/7/2012,California,952,31822,2.99,120
3291,2011-2012,201214,4/7/2012,Central,40,1921,2.08,13
3292,2011-2012,201214,4/7/2012,Lower Southern,229,8967,2.55,39
3293,2011-2012,201214,4/7/2012,Northern,114,6604,1.73,18
3294,2011-2012,201214,4/7/2012,Upper Southern,56,5444,1.03,31
3295,2011-2012,201215,4/14/2012,Bay Area,535,9059,5.91,18
3296,2011-2012,201215,4/14/2012,California,927,32278,2.87,118
3297,2011-2012,201215,4/14/2012,Central,46,1830,2.51,13
3298,2011-2012,201215,4/14/2012,Lower Southern,202,9936,2.03,42
3299,2011-2012,201215,4/14/2012,Northern,90,6610,1.36,16
3300,2011-2012,201215,4/14/2012,Upper Southern,54,4843,1.12,29
3301,2011-2012,201216,4/21/2012,Bay Area,397,9217,4.31,16
3302,2011-2012,201216,4/21/2012,California,717,33333,2.15,116
3303,2011-2012,201216,4/21/2012,Central,30,2145,1.4,13
3304,2011-2012,201216,4/21/2012,Lower Southern,169,9861,1.71,43
3305,2011-2012,201216,4/21/2012,Northern,89,6931,1.28,16
3306,2011-2012,201216,4/21/2012,Upper Southern,32,5179,0.62,28
3307,2011-2012,201217,4/28/2012,Bay Area,450,8999,5,16
3308,2011-2012,201217,4/28/2012,California,693,32178,2.15,113
3309,2011-2012,201217,4/28/2012,Central,31,1630,1.9,14
3310,2011-2012,201217,4/28/2012,Lower Southern,128,9693,1.32,40
3311,2011-2012,201217,4/28/2012,Northern,53,6738,0.79,15
3312,2011-2012,201217,4/28/2012,Upper Southern,31,5118,0.61,28
3313,2011-2012,201218,5/5/2012,Bay Area,464,8908,5.21,16
3314,2011-2012,201218,5/5/2012,California,732,31003,2.36,107
3315,2011-2012,201218,5/5/2012,Central,18,1967,0.92,12
3316,2011-2012,201218,5/5/2012,Lower Southern,169,8715,1.94,37
3317,2011-2012,201218,5/5/2012,Northern,67,6571,1.02,15
3318,2011-2012,201218,5/5/2012,Upper Southern,14,4842,0.29,27
3319,2011-2012,201219,5/12/2012,Bay Area,439,8976,4.89,16
3320,2011-2012,201219,5/12/2012,California,727,30903,2.35,99
3321,2011-2012,201219,5/12/2012,Central,10,1463,0.68,8
3322,2011-2012,201219,5/12/2012,Lower Southern,152,8900,1.71,36
3323,2011-2012,201219,5/12/2012,Northern,112,6595,1.7,13
3324,2011-2012,201219,5/12/2012,Upper Southern,14,4969,0.28,26
3325,2011-2012,201220,5/19/2012,Bay Area,413,8154,5.06,14
3326,2011-2012,201220,5/19/2012,California,613,29971,2.05,94
3327,2011-2012,201220,5/19/2012,Central,16,1699,0.94,8
3328,2011-2012,201220,5/19/2012,Lower Southern,144,9642,1.49,35
3329,2011-2012,201220,5/19/2012,Northern,32,6473,0.49,13
3330,2011-2012,201220,5/19/2012,Upper Southern,8,4003,0.2,24
3331,2011-2012,201221,5/26/2012,Bay Area,409,7925,5.16,15
3332,2011-2012,201221,5/26/2012,California,593,26641,2.23,91
3333,2011-2012,201221,5/26/2012,Central,10,1252,0.8,7
3334,2011-2012,201221,5/26/2012,Lower Southern,107,7960,1.34,34
3335,2011-2012,201221,5/26/2012,Northern,56,5826,0.96,13
3336,2011-2012,201221,5/26/2012,Upper Southern,11,3678,0.3,22
3337,2011-2012,201222,6/2/2012,Bay Area,361,6867,5.26,14
3338,2011-2012,201222,6/2/2012,California,465,20999,2.21,89
3339,2011-2012,201222,6/2/2012,Central,5,881,0.57,6
3340,2011-2012,201222,6/2/2012,Lower Southern,70,6745,1.04,36
3341,2011-2012,201222,6/2/2012,Northern,23,4591,0.5,13
3342,2011-2012,201222,6/2/2012,Upper Southern,6,1915,0.31,20
3343,2011-2012,201223,6/9/2012,Bay Area,358,7862,4.55,14
3344,2011-2012,201223,6/9/2012,California,497,24661,2.02,88
3345,2011-2012,201223,6/9/2012,Central,8,1001,0.8,6
3346,2011-2012,201223,6/9/2012,Lower Southern,94,8332,1.13,35
3347,2011-2012,201223,6/9/2012,Northern,36,5138,0.7,13
3348,2011-2012,201223,6/9/2012,Upper Southern,1,2328,0.04,20
3349,2011-2012,201224,6/16/2012,Bay Area,313,7995,3.91,13
3350,2011-2012,201224,6/16/2012,California,466,25707,1.81,88
3351,2011-2012,201224,6/16/2012,Central,10,1072,0.93,6
3352,2011-2012,201224,6/16/2012,Lower Southern,103,9197,1.12,37
3353,2011-2012,201224,6/16/2012,Northern,34,5333,0.64,12
3354,2011-2012,201224,6/16/2012,Upper Southern,6,2110,0.28,20
3355,2011-2012,201225,6/23/2012,Bay Area,343,7264,4.72,12
3356,2011-2012,201225,6/23/2012,California,482,23649,2.04,85
3357,2011-2012,201225,6/23/2012,Central,7,641,1.09,6
3358,2011-2012,201225,6/23/2012,Lower Southern,95,7714,1.23,35
3359,2011-2012,201225,6/23/2012,Northern,26,5129,0.51,12
3360,2011-2012,201225,6/23/2012,Upper Southern,11,2901,0.38,20
3361,2011-2012,201226,6/30/2012,Bay Area,304,6795,4.47,12
3362,2011-2012,201226,6/30/2012,California,411,21920,1.88,80
3363,2011-2012,201226,6/30/2012,Central,5,529,0.95,5
3364,2011-2012,201226,6/30/2012,Lower Southern,83,7361,1.13,34
3365,2011-2012,201226,6/30/2012,Northern,17,4293,0.4,10
3366,2011-2012,201226,6/30/2012,Upper Southern,2,2942,0.07,19
3367,2011-2012,201227,7/7/2012,Bay Area,259,5784,4.48,11
3368,2011-2012,201227,7/7/2012,California,365,18877,1.93,81
3369,2011-2012,201227,7/7/2012,Central,6,477,1.26,6
3370,2011-2012,201227,7/7/2012,Lower Southern,80,6452,1.24,34
3371,2011-2012,201227,7/7/2012,Northern,13,3421,0.38,10
3372,2011-2012,201227,7/7/2012,Upper Southern,7,2743,0.26,20
3373,2011-2012,201228,7/14/2012,Bay Area,273,7104,3.84,10
3374,2011-2012,201228,7/14/2012,California,390,21351,1.83,74
3375,2011-2012,201228,7/14/2012,Central,11,662,1.66,6
3376,2011-2012,201228,7/14/2012,Lower Southern,77,7133,1.08,32
3377,2011-2012,201228,7/14/2012,Northern,20,4223,0.47,10
3378,2011-2012,201228,7/14/2012,Upper Southern,9,2229,0.4,16
3379,2011-2012,201229,7/21/2012,Bay Area,259,6978,3.71,10
3380,2011-2012,201229,7/21/2012,California,357,21086,1.69,76
3381,2011-2012,201229,7/21/2012,Central,8,295,2.71,5
3382,2011-2012,201229,7/21/2012,Lower Southern,63,6898,0.91,32
3383,2011-2012,201229,7/21/2012,Northern,24,4975,0.48,11
3384,2011-2012,201229,7/21/2012,Upper Southern,3,1940,0.15,18
3385,2011-2012,201230,7/28/2012,Bay Area,250,6929,3.61,10
3386,2011-2012,201230,7/28/2012,California,354,21009,1.68,76
3387,2011-2012,201230,7/28/2012,Central,8,245,3.27,4
3388,2011-2012,201230,7/28/2012,Lower Southern,73,6591,1.11,33
3389,2011-2012,201230,7/28/2012,Northern,16,4449,0.36,10
3390,2011-2012,201230,7/28/2012,Upper Southern,7,2795,0.25,19
3391,2011-2012,201231,8/4/2012,Bay Area,258,6379,4.04,10
3392,2011-2012,201231,8/4/2012,California,362,20636,1.75,77
3393,2011-2012,201231,8/4/2012,Central,2,398,0.5,5
3394,2011-2012,201231,8/4/2012,Lower Southern,81,6535,1.24,32
3395,2011-2012,201231,8/4/2012,Northern,19,4370,0.43,10
3396,2011-2012,201231,8/4/2012,Upper Southern,2,2954,0.07,20
3397,2011-2012,201232,8/11/2012,Bay Area,238,6556,3.63,9
3398,2011-2012,201232,8/11/2012,California,342,20835,1.64,73
3399,2011-2012,201232,8/11/2012,Central,2,322,0.62,4
3400,2011-2012,201232,8/11/2012,Lower Southern,67,7696,0.87,32
3401,2011-2012,201232,8/11/2012,Northern,33,4520,0.73,10
3402,2011-2012,201232,8/11/2012,Upper Southern,2,1741,0.11,18
3403,2011-2012,201233,8/18/2012,Bay Area,19,1761,1.08,8
3404,2011-2012,201233,8/18/2012,California,160,14858,1.08,70
3405,2011-2012,201233,8/18/2012,Central,12,374,3.21,5
3406,2011-2012,201233,8/18/2012,Lower Southern,107,6769,1.58,32
3407,2011-2012,201233,8/18/2012,Northern,16,4120,0.39,9
3408,2011-2012,201233,8/18/2012,Upper Southern,6,1834,0.33,16
3409,2011-2012,201234,8/25/2012,Bay Area,271,7002,3.87,11
3410,2011-2012,201234,8/25/2012,California,411,21819,1.88,73
3411,2011-2012,201234,8/25/2012,Central,4,190,2.11,3
3412,2011-2012,201234,8/25/2012,Lower Southern,112,6840,1.64,32
3413,2011-2012,201234,8/25/2012,Northern,16,4968,0.32,9
3414,2011-2012,201234,8/25/2012,Upper Southern,8,2819,0.28,18
3415,2011-2012,201235,9/1/2012,Bay Area,333,7551,4.41,10
3416,2011-2012,201235,9/1/2012,California,525,26043,2.02,74
3417,2011-2012,201235,9/1/2012,Central,16,801,2,5
3418,2011-2012,201235,9/1/2012,Lower Southern,146,8369,1.74,32
3419,2011-2012,201235,9/1/2012,Northern,21,5323,0.39,9
3420,2011-2012,201235,9/1/2012,Upper Southern,9,3999,0.23,18
3421,2011-2012,201236,9/8/2012,Bay Area,397,6701,5.92,9
3422,2011-2012,201236,9/8/2012,California,543,23378,2.32,76
3423,2011-2012,201236,9/8/2012,Central,23,666,3.45,5
3424,2011-2012,201236,9/8/2012,Lower Southern,87,7489,1.16,33
3425,2011-2012,201236,9/8/2012,Northern,30,4806,0.62,9
3426,2011-2012,201236,9/8/2012,Upper Southern,6,3716,0.16,20
3427,2011-2012,201237,9/15/2012,Bay Area,411,8229,4.99,9
3428,2011-2012,201237,9/15/2012,California,627,27935,2.24,75
3429,2011-2012,201237,9/15/2012,Central,34,850,4,5
3430,2011-2012,201237,9/15/2012,Lower Southern,131,8730,1.5,33
3431,2011-2012,201237,9/15/2012,Northern,45,5657,0.8,9
3432,2011-2012,201237,9/15/2012,Upper Southern,6,4469,0.13,19
3433,2011-2012,201238,9/22/2012,Bay Area,451,8389,5.38,10
3434,2011-2012,201238,9/22/2012,California,678,27792,2.44,73
3435,2011-2012,201238,9/22/2012,Central,36,1002,3.59,6
3436,2011-2012,201238,9/22/2012,Lower Southern,154,8889,1.73,31
3437,2011-2012,201238,9/22/2012,Northern,33,5560,0.59,9
3438,2011-2012,201238,9/22/2012,Upper Southern,4,3952,0.1,17
3439,2011-2012,201239,9/29/2012,Bay Area,477,8300,5.75,9
3440,2011-2012,201239,9/29/2012,California,656,27223,2.41,69
3441,2011-2012,201239,9/29/2012,Central,26,689,3.77,5
3442,2011-2012,201239,9/29/2012,Lower Southern,109,8352,1.31,30
3443,2011-2012,201239,9/29/2012,Northern,37,6066,0.61,9
3444,2011-2012,201239,9/29/2012,Upper Southern,7,3816,0.18,16
3445,2012-2013,201240,10/6/2012,Bay Area,434,9134,4.75,17
3446,2012-2013,201240,10/6/2012,California,720,34264,2.1,124
3447,2012-2013,201240,10/6/2012,Central,45,1983,2.27,16
3448,2012-2013,201240,10/6/2012,Lower Southern,151,10097,1.5,42
3449,2012-2013,201240,10/6/2012,Northern,65,7150,0.91,20
3450,2012-2013,201240,10/6/2012,Upper Southern,25,5900,0.42,29
3451,2012-2013,201241,10/13/2012,Bay Area,472,9241,5.11,17
3452,2012-2013,201241,10/13/2012,California,781,34481,2.27,124
3453,2012-2013,201241,10/13/2012,Central,61,1705,3.58,15
3454,2012-2013,201241,10/13/2012,Lower Southern,158,10313,1.53,42
3455,2012-2013,201241,10/13/2012,Northern,69,7035,0.98,19
3456,2012-2013,201241,10/13/2012,Upper Southern,21,6187,0.34,31
3457,2012-2013,201242,10/20/2012,Bay Area,489,9275,5.27,18
3458,2012-2013,201242,10/20/2012,California,840,35639,2.36,127
3459,2012-2013,201242,10/20/2012,Central,48,1653,2.9,15
3460,2012-2013,201242,10/20/2012,Lower Southern,179,10301,1.74,42
3461,2012-2013,201242,10/20/2012,Northern,82,7394,1.11,20
3462,2012-2013,201242,10/20/2012,Upper Southern,42,7016,0.6,32
3463,2012-2013,201243,10/27/2012,Bay Area,489,9059,5.4,17
3464,2012-2013,201243,10/27/2012,California,812,34236,2.37,123
3465,2012-2013,201243,10/27/2012,Central,48,1788,2.68,14
3466,2012-2013,201243,10/27/2012,Lower Southern,143,9235,1.55,40
3467,2012-2013,201243,10/27/2012,Northern,71,7152,0.99,21
3468,2012-2013,201243,10/27/2012,Upper Southern,61,7002,0.87,31
3469,2012-2013,201244,11/3/2012,Bay Area,498,9482,5.25,18
3470,2012-2013,201244,11/3/2012,California,853,35301,2.42,121
3471,2012-2013,201244,11/3/2012,Central,51,1346,3.79,12
3472,2012-2013,201244,11/3/2012,Lower Southern,172,9800,1.76,39
3473,2012-2013,201244,11/3/2012,Northern,65,7440,0.87,20
3474,2012-2013,201244,11/3/2012,Upper Southern,67,7233,0.93,32
3475,2012-2013,201245,11/10/2012,Bay Area,525,9549,5.5,16
3476,2012-2013,201245,11/10/2012,California,909,35486,2.56,121
3477,2012-2013,201245,11/10/2012,Central,51,1101,4.63,12
3478,2012-2013,201245,11/10/2012,Lower Southern,163,10312,1.58,42
3479,2012-2013,201245,11/10/2012,Northern,99,7724,1.28,22
3480,2012-2013,201245,11/10/2012,Upper Southern,71,6800,1.04,29
3481,2012-2013,201246,11/17/2012,Bay Area,532,9073,5.86,18
3482,2012-2013,201246,11/17/2012,California,857,34115,2.51,124
3483,2012-2013,201246,11/17/2012,Central,62,1294,4.79,12
3484,2012-2013,201246,11/17/2012,Lower Southern,109,10347,1.05,42
3485,2012-2013,201246,11/17/2012,Northern,75,6765,1.11,22
3486,2012-2013,201246,11/17/2012,Upper Southern,79,6636,1.19,30
3487,2012-2013,201247,11/24/2012,Bay Area,373,5472,6.82,16
3488,2012-2013,201247,11/24/2012,California,639,23403,2.73,124
3489,2012-2013,201247,11/24/2012,Central,26,507,5.13,13
3490,2012-2013,201247,11/24/2012,Lower Southern,135,7437,1.82,42
3491,2012-2013,201247,11/24/2012,Northern,61,5081,1.2,22
3492,2012-2013,201247,11/24/2012,Upper Southern,44,4906,0.9,31
3493,2012-2013,201248,12/1/2012,Bay Area,600,9556,6.28,17
3494,2012-2013,201248,12/1/2012,California,946,36908,2.56,130
3495,2012-2013,201248,12/1/2012,Central,46,1807,2.55,15
3496,2012-2013,201248,12/1/2012,Lower Southern,166,11009,1.51,45
3497,2012-2013,201248,12/1/2012,Northern,81,7278,1.11,22
3498,2012-2013,201248,12/1/2012,Upper Southern,53,7258,0.73,31
3499,2012-2013,201249,12/8/2012,Bay Area,560,9364,5.98,17
3500,2012-2013,201249,12/8/2012,California,905,36798,2.46,129
3501,2012-2013,201249,12/8/2012,Central,38,1772,2.14,16
3502,2012-2013,201249,12/8/2012,Lower Southern,164,11301,1.45,46
3503,2012-2013,201249,12/8/2012,Northern,84,7438,1.13,22
3504,2012-2013,201249,12/8/2012,Upper Southern,59,6923,0.85,28
3505,2012-2013,201250,12/15/2012,Bay Area,535,8917,6,16
3506,2012-2013,201250,12/15/2012,California,920,33961,2.71,127
3507,2012-2013,201250,12/15/2012,Central,29,1102,2.63,13
3508,2012-2013,201250,12/15/2012,Lower Southern,209,10997,1.9,47
